,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10
theta_93,-0.08418826634339491,0.15350626132128262,0.055418071853919504,0.07399527054331173,-0.11369685221584357,-0.16420981460430714,-0.027840155216856243,-0.2034740447437656,-0.0942904879382324,0.3386878115422332
theta_94,-0.21899732174220468,0.0004780619053606607,0.21482605465596777,-0.002617281870519611,-0.045583741152093155,-0.24027127329561077,-0.1377530282942455,0.16122670345602338,-0.09307032320709731,-0.060856181057026316
theta_95,-0.016307978565149615,0.08437663374689705,-0.006868813223458885,0.2548743042968039,0.014387269662439132,-0.015622604562282661,-0.06418316743748896,0.1879087499509779,-0.09410733096827593,0.04442749402514554
theta_96,0.2828169645110079,-0.021891616442855043,0.2001886365777903,0.1074915256318667,0.30356842527068967,-0.08932829314642057,0.1989088787310979,0.1798965762151174,0.09581983259672824,0.19387265143860777
theta_97,0.30581280445904396,0.40437082290117593,0.38804365563969073,0.15556915534200141,0.015062867330876676,0.07191617596712639,0.16234954728094836,0.08294855121864185,0.3742875946655498,0.033350436029504174
theta_98,0.23437833461379248,0.1118261666515582,0.2827046223818734,0.06032633756063725,0.44359041473979066,0.14089086890403743,0.36315007039049446,0.3079912700530613,0.44134904650985457,0.2231502033878075
theta_99,0.258271449070166,0.37922400588607097,0.28079089865883583,0.094603313299378,0.29605418006734663,0.43068305644763566,0.3657548057380233,0.28515579807212293,0.22108746233606416,0.0189220819824002
theta_100,0.10814149940752162,0.39522825454512756,0.30323813266378147,0.3409217803446256,0.439470258301153,0.1529365817065326,0.045200417953996055,0.23813905020445558,0.39415161936514487,0.03606065860890735
theta_101,0.36070914954399963,0.3492268617943635,0.19807626495008812,0.14970767965846143,0.35833585259180045,0.12237938618363031,0.2433072473963139,0.29722944623883973,0.2129159831418695,0.09540652776065649
theta_102,0.29438561080253506,0.3866751827919128,0.3074335458024016,0.010967366075490741,0.45142008791889243,0.4197947228123388,0.24786112909204314,0.0958530829971203,0.0035774421574333685,0.04042960623780608
theta_103,0.031397131097916454,0.40442542370348883,0.2716659593586878,0.008669031656946397,-0.03513324010763356,0.03267493123132881,0.39725125949302936,0.11352266907146392,0.391742889817199,-0.017961971088880004
theta_104,0.052510096770864725,0.2967558870808186,0.026238750696441826,0.1642812813850055,-0.006546264420639976,0.2852395609445484,0.0021309682575336316,0.09884332920255369,-0.06968136521467343,0.3141267400280649
theta_105,-0.10437175743099102,-0.07688706746730957,0.15151224780490344,-0.031540885117325536,0.2886065737677317,0.24594497765190151,0.10840241445510494,0.1341810042615571,0.057891435046109864,0.3050192929829864
theta_106,0.1241653964996002,0.0029889502137271516,-0.02639358933123236,-0.0022439223087308197,-0.19979849115650422,0.022401480446414268,0.34154152003872473,-0.11803569880157135,-0.09926982119953343,-0.21041166634747988
theta_107,0.12202324355376062,-0.32352130188225164,0.09627485422770479,-0.1465289296442974,0.17255782352092663,0.0066023188466682115,0.11133914318610284,-0.1242711211868465,0.12470902532808865,0.0873322002556754
theta_108,-0.011240860112265444,-0.07101610769828161,-0.23438412727334196,-0.02477186327689064,-0.1342709647821711,0.12759695004857965,-0.16083747021346825,0.11581809289971352,0.2152954169408127,-0.07942966164620516
theta_109,0.05955405752492112,-0.28595312401032363,-0.07343305497210495,0.09768238547879748,-0.1245886840948677,-0.03421811785740704,-0.21083374166373517,-0.2589815685071323,-0.006667551695661761,0.018747831766179772
theta_110,0.13430427020578975,-0.2513005503485158,-0.115945792984513,-0.027384231113803843,0.07304136863071438,-0.25600405715089103,-0.14954351880925426,-0.2636870544851501,-0.16338927693819194,-0.035289954593005414
theta_111,-0.23528133431706627,0.005731851250793553,-0.07517953335519713,0.19834042144013098,-0.31457242899147725,-0.04284601754996602,0.027785289991308682,-0.22315951646008608,-0.11752741155713767,0.040604881302171575
theta_112,-0.1255285784686884,0.35741578278050995,-0.11904619195577311,-0.18223268292361672,-0.267505330021732,0.04608037175554124,0.12702470215701586,0.06979353163007544,-0.013260625555628427,-0.0012049026843186177
theta_113,-0.31589022263589994,-0.05270967897387777,0.08515957377004266,-0.12279318498306417,-0.14012022866158272,0.1839332111850052,-0.09659398607250613,0.033119014763494,-0.19706409386483473,0.07134225840377101
theta_114,-0.1182971830647496,-0.0007751776268755309,0.08918747234058642,-0.34850916978980545,0.10566921874999942,-0.07733606598777877,-0.3073361162539874,0.03713493223254328,-0.08738360856204139,0.20644156495258045
theta_115,-0.10082931087649978,0.34208520993343894,0.2712780074391006,0.042165375704546114,0.06121334674100795,-0.10634611292424126,-0.11127438361854804,0.22476916596787536,-0.3176671131289057,0.12422768422627377
theta_116,0.049670587353783865,0.13520415763405083,0.2067352319783258,-0.017301263593896932,0.12269778351582612,-0.19224745555901332,-0.062066873187120196,0.008456084861126922,-0.1650904169368967,0.048343772032971646
theta_117,0.23775752009269346,0.1725391394821728,0.4412244909197661,-0.02565433780910496,0.015415219884247832,0.1188211672393698,0.3183574564233633,0.25201219169092703,0.23107035633634532,0.20887202976385674
theta_118,0.45940929109778117,0.0571602283071114,0.017964796528788383,0.0029787608666594256,0.20239211647440583,-0.016406279316419713,0.2715435881462669,0.09745376421055923,0.2649504259883033,0.14532392044802575
theta_119,0.16863974766725495,0.46008059197936646,0.1995155806735403,0.135512727950843,0.026785293952462826,0.026993162655120844,0.21663881136290586,0.2465362908440674,0.379438231146661,0.10749307512813469
theta_120,0.15902224158548584,0.27515034509389874,0.15045854634414196,0.1757533037372727,0.025303240024544437,0.08606148974191626,0.3803970674396488,0.18499498837625677,0.3407639457384166,0.08015467718358592
theta_121,0.256057367777256,0.24647835928583847,0.38758376219918395,0.07272752150141687,0.4562970989639729,0.41104573067050315,0.134130864770418,0.20570149327490023,0.3145688148689045,0.20636353576757377
theta_122,-0.011029891926681305,0.2160640531755386,0.4448323399267364,0.02898337989012143,0.058950071431313714,0.029830250751941012,0.4132258024553026,0.43917310733061005,0.3623031577023442,0.22404785227765472
